VBB,VB,VCC,IB,VC,IC,,,
1.773681,0.571289,0.007324,1.20E-05,0.006104,2.60E-06,,,
1.831055,0.629883,0.197754,1.20E-05,0.073242,0.000265,,,
1.850586,0.649414,0.395508,1.20E-05,0.085449,0.00066,,,
1.864013,0.661621,0.598144,1.20E-05,0.13916,0.000977,,,
1.871338,0.670166,0.795898,1.20E-05,0.123291,0.001431,,,
1.876221,0.675049,0.996094,1.20E-05,0.357666,0.001358,,,
1.882324,0.679932,1.195068,1.20E-05,0.177002,0.002166,,,
1.883545,0.682373,1.395264,1.20E-05,0.253906,0.002428,,,
1.885986,0.684814,1.595459,1.20E-05,0.927734,0.001421,,,
1.889648,0.684814,1.795654,1.20E-05,1.119385,0.001439,,,
1.887207,0.686035,1.993408,1.20E-05,0.805664,0.002527,,,
1.888428,0.686035,2.194824,1.20E-05,1.500244,0.001478,,,
1.887207,0.686035,2.395019,1.20E-05,1.690674,0.001499,,,
1.888428,0.687256,2.595215,1.20E-05,1.879883,0.001522,,,
1.889648,0.687256,2.794189,1.20E-05,2.072754,0.001535,,,
1.889648,0.688476,2.995605,1.20E-05,2.263183,0.001558,,,
1.89209,0.689697,3.193359,1.20E-05,1.911621,0.002727,,,
1.89331,0.689697,3.394775,1.20E-05,2.078857,0.0028,,,
1.894531,0.690918,3.59497,1.20E-05,2.247314,0.002867,,,
1.89209,0.690918,3.795166,1.20E-05,3.010254,0.00167,,,
1.89209,0.690918,3.995361,1.20E-05,3.193359,0.001706,,,
1.89331,0.692139,4.195556,1.20E-05,3.378906,0.001738,,,
1.89331,0.690918,4.39331,1.20E-05,3.558349,0.001777,,,
1.89331,0.692139,4.592285,1.20E-05,3.739013,0.001815,,,
1.894531,0.690918,4.79248,1.20E-05,3.908691,0.00188,,,
1.89331,0.690918,4.991455,1.20E-05,4.077148,0.001945,,,
