VBB,VB,VCC,IB,VC,IC
0.008545,0.305176,4.001464,-0.002966,3.996582,1.04E-05
0.100098,0.385742,4.001464,-0.002856,3.999023,5.19E-06
0.196533,0.466309,4.002685,-0.002698,4.000244,5.19E-06
0.296631,0.544434,4.000244,-0.002478,3.997802,5.19E-06
0.397949,0.601807,4.001464,-0.002039,3.990478,2.34E-05
0.499268,0.632324,4.002685,-0.001331,3.944091,0.000125
0.596924,0.648193,4.000244,-0.000513,3.862304,0.000293
0.697021,0.657959,4.001464,0.000391,3.770752,0.000491
0.79834,0.664062,3.999023,0.001343,3.677978,0.000683
0.897217,0.667725,3.999023,0.002295,3.583984,0.000883
0.997314,0.670166,3.999023,0.003271,3.485107,0.001093
1.097412,0.673828,3.997802,0.004236,3.391113,0.001291
1.19751,0.676269,3.999023,0.005212,3.292236,0.001504
1.297607,0.678711,3.997802,0.006189,3.188476,0.001722
1.397705,0.681152,3.996582,0.007166,3.087158,0.001935
1.497803,0.683594,4.019775,0.008142,3.000488,0.002169
1.5979,0.684814,4.149169,0.009131,3.001709,0.002441
1.697998,0.687256,4.293212,0.010107,3.000488,0.00275
1.798096,0.688476,4.466552,0.011096,3.001709,0.003117
